,0,1,2
article-i.d,0.7333333333333333,0.7333333333333333,0.7333333333333333
twillis,0.0,0.0,0.0
ec.ecn.purdue.edu,0.0,0.0,0.0
thomas,0.0,0.0,0.0
willis,0.0,0.0,0.0
questions,0.0,0.0,0.0
purdue,0.0,0.0,0.0
engineering,0.0,0.0,0.0
folks,0.0,0.0,0.0
plus,0.0,0.0,0.0
finally,0.0,0.0,0.0
gave,0.0,0.0,0.0
ghost,0.0,0.0,0.0
weekend,0.0,0.0,0.0
starting,0.0,0.0,0.0
life,0.0,0.0,0.0
way,0.0,0.0,0.0
sooo,0.0,0.0,0.0
market,0.0,0.0,0.0
bit,0.0,0.0,0.0
sooner,0.0,0.0,0.0
intended,0.0,0.0,0.0
picking,0.0,0.0,0.0
powerbook,0.0,0.0,0.0
bunch,0.0,0.0,0.0
hopefully,0.0,0.0,0.0
somebody,0.0,0.0,0.0
answer,0.0,0.0,0.0
anybody,0.0,0.0,0.0
dirt,0.0,0.0,0.0
round,0.0,0.0,0.0
introductions,0.0,0.0,0.0
heard,0.0,0.0,0.0
supposed,0.0,0.0,0.0
appearence,0.0,0.0,0.0
summer,0.0,0.0,0.0
anymore,0.0,0.0,0.0
macleak,0.0,0.0,0.0
rumors,0.0,0.0,0.0
price,0.0,0.0,0.0
drops,0.0,0.0,0.0
line,0.0,0.0,0.0
ones,0.0,0.0,0.0
duo,0.0,0.0,0.0
went,0.0,0.0,0.0
recently,0.0,0.0,0.0
impression,0.0,0.0,0.0
display,0.0,0.0,0.0
probably,0.0,0.0,0.0
swing,0.0,0.0,0.0
feel,0.0,0.0,0.0
better,0.0,0.0,0.0
yea,0.0,0.0,0.0
store,0.0,0.0,0.0
wow,0.0,0.0,0.0
good,0.0,0.0,0.0
solicit,0.0,0.0,0.0
opinions,0.0,0.0,0.0
day-to-day,0.0,0.0,0.0
worth,0.0,0.0,0.0
taking,0.0,0.0,0.0
size,0.0,0.0,0.0
money,0.0,0.0,0.0
active,0.0,0.0,0.0
realize,0.0,0.0,0.0
subjective,0.0,0.0,0.0
played,0.0,0.0,0.0
around,0.0,0.0,0.0
machines,0.0,0.0,0.0
breifly,0.0,0.0,0.0
figured,0.0,0.0,0.0
actually,0.0,0.0,0.0
daily,0.0,0.0,0.0
prove,0.0,0.0,0.0
helpful,0.0,0.0,0.0
hellcats,0.0,0.0,0.0
perform,0.0,0.0,0.0
advance,0.0,0.0,0.0
post,0.0,0.0,0.0
news,0.0,0.0,0.0
reading,0.0,0.0,0.0
time,0.0,0.0,0.0
premium,0.0,0.0,0.0
finals,0.0,0.0,0.0
corner,0.0,0.0,0.0
ecn.purdue.edu,0.0,0.0,0.0
electrical,0.0,0.0,0.0
convictions,0.0,0.0,0.0
dangerous,0.0,0.0,0.0
enemies,0.0,0.0,0.0
truth,0.0,0.0,0.0
lies,0.0,0.0,0.0
nietzsche,0.0,0.0,0.0
information,0.7333333333333333,0.7333333333333333,0.7333333333333333
jonathan,0.3333333333333333,0.3333333333333333,0.3333333333333333
dfo,0.0,0.0,0.0
vttoulu.tko.vtt.fi,0.0,0.0,0.0
foxvog,0.0,0.0,0.0
douglas,0.0,0.0,0.0
rewording,0.0,0.0,0.0
second,0.0,0.0,0.0
amendment,0.0,0.0,0.0
ideas,0.0,0.0,0.0
vtt,0.0,0.0,0.0
transfer.stratus.com,0.0,0.0,0.0
cdt,0.0,0.0,0.0
sw.stratus.com,0.0,0.0,0.0
tavares,0.0,0.0,0.0
ousrvr.oulu.fi,0.0,0.0,0.0
c5n3gi.f8f,0.0,0.0,0.0
ulowell.ulowell.edu,0.0,0.0,0.0
jrutledg,0.0,0.0,0.0
cs.ulowell.edu,0.0,0.0,0.0
john,0.0,0.0,0.0
lawrence,0.0,0.0,0.0
rutledge,0.0,0.0,0.0
massive,0.0,0.0,0.0
destructive,0.0,0.0,0.0
power,0.0,0.0,0.0
many,0.0,0.0,0.0
modern,0.0,0.0,0.0
weapons,0.0,0.0,0.0
accidental,0.0,0.0,0.0
crimial,0.0,0.0,0.0
mass,0.0,0.0,0.0
destruction,0.0,0.0,0.0
need,0.0,0.0,0.0
control,0.0,0.0,0.0
government,0.0,0.0,0.0
individual,0.0,0.0,0.0
result,0.0,0.0,0.0
needless,0.0,0.0,0.0
deaths,0.0,0.0,0.0
millions,0.0,0.0,0.0
keep,0.0,0.0,0.0
bear,0.0,0.0,0.0
non-existant,0.0,0.0,0.0
stating,0.0,0.0,0.0
coming,0.0,0.0,0.0
disagree,0.0,0.0,0.0
every,0.0,0.0,0.0
count,0.0,0.0,0.0
believe,0.0,0.0,0.0
individuals,0.0,0.0,0.0
find,0.0,0.0,0.0
neighbor,0.0,0.0,0.0
nuclear,0.0,0.0,0.0
biological,0.0,0.0,0.0
nerve,0.0,0.0,0.0
gas,0.0,0.0,0.0
his/her,0.0,0.0,0.0
property,0.0,0.0,0.0
even,0.0,0.0,0.0
agree,0.0,0.0,0.0
keeping,0.0,0.0,0.0
hands,0.0,0.0,0.0
hope,0.0,0.0,0.0
sign,0.0,0.0,0.0
blank,0.0,0.0,0.0
checks,0.0,0.0,0.0
course,0.0,0.0,0.0
term,0.0,0.0,0.0
must,0.0,0.0,0.0
rigidly,0.0,0.0,0.0
defined,0.0,0.0,0.0
bill,0.0,0.0,0.0
doug,0.0,0.0,0.0
means,0.0,0.0,0.0
cbw,0.0,0.0,0.0
nukes,0.0,0.0,0.0
sarah,0.0,0.0,0.0
brady,0.0,0.0,0.0
street,0.0,0.0,0.0
sweeper,0.0,0.0,0.0
shotguns,0.0,0.0,0.0
semi-automatic,0.0,0.0,0.0
sks,0.0,0.0,0.0
rifles,0.0,0.0,0.0
doubt,0.0,0.0,0.0
allegedly,0.0,0.0,0.0
immediately,0.0,0.0,0.0
follows,0.0,0.0,0.0
thousands,0.0,0.0,0.0
killed,0.0,0.0,0.0
handguns,0.0,0.0,0.0
easily,0.0,0.0,0.0
reduced,0.0,0.0,0.0
putting,0.0,0.0,0.0
reasonable,0.0,0.0,0.0
restrictions,0.0,0.0,0.0
mean,0.0,0.0,0.0
read,0.0,0.0,0.0
presenting,0.0,0.0,0.0
first,0.0,0.0,0.0
argument,0.0,0.0,0.0
commonly,0.0,0.0,0.0
understood,0.0,0.0,0.0
switching,0.0,0.0,0.0
topics,0.0,0.0,0.0
point,0.0,0.0,0.0
evidently,0.0,0.0,0.0
show,0.0,0.0,0.0
allowed,0.0,0.0,0.0
later,0.0,0.0,0.0
analysis,0.0,0.0,0.0
given,0.0,0.0,0.0
consider,0.0,0.0,0.0
another,0.0,0.0,0.0
class,0.0,0.0,0.0
rocket.sw.stratus.com,0.0,0.0,0.0
speak,0.0,0.0,0.0
company,0.0,0.0,0.0
vos.stratus.com,0.0,0.0,0.0
write,0.0,0.0,0.0
today,0.0,0.0,0.0
special,0.0,0.0,0.0
investors,0.0,0.0,0.0
packet,0.0,0.0,0.0
douglas.foxvog,0.0,0.0,0.0
vtt.fi,0.0,0.0,0.0
sure,0.7777777777777778,0.7777777777777778,0.7777777777777778
file,0.7777777777777778,0.7777777777777778,0.7777777777777778
